group,plmname,filename,x,y,SS_x,SS_y,TS_x,TS_y,cc_ratio
leaf3,A10_rep1_d4_plm1,fixed_mask_A10_rep1_d4.png,824,1461,824,1479,820,1478,255
lig2,A10_rep1_d4_plm2,fixed_mask_A10_rep1_d4.png,815,1543,816,1526,805,1524,0
leaf2,A10_rep1_d4_plm3,fixed_mask_A10_rep1_d4.png,732,1466,753,1477,749,1478,255
base,A10_rep1_d4_plm4,fixed_mask_A10_rep1_d4.png,820,1554,853,1533,821,1541,15.77319588
leaf3,A10_rep1_d5_plm1,fixed_mask_A10_rep1_d5.png,880,1399,872,1420,870,1420,255
lig2,A10_rep1_d5_plm2,fixed_mask_A10_rep1_d5.png,837,1539,840,1537,827,1519,0
leaf2,A10_rep1_d5_plm3,fixed_mask_A10_rep1_d5.png,754,1463,774,1471,775,1475,255
leaf1,A10_rep1_d5_plm4,fixed_mask_A10_rep1_d5.png,877,1529,876,1532,860,1547,255
lig1,A10_rep1_d5_plm5,fixed_mask_A10_rep1_d5.png,844,1548,845,1549,844,1548,127.5
leaf3,A10_rep1_d6_plm1,fixed_mask_A10_rep1_d6.png,935,1388,936,1389,935,1388,127.5
lig3,A10_rep1_d6_plm2,fixed_mask_A10_rep1_d6.png,836,1527,846,1506,831,1508,0
leaf4,A10_rep1_d6_plm3,fixed_mask_A10_rep1_d6.png,823,1456,826,1477,825,1478,255
lig2,A10_rep1_d6_plm4,fixed_mask_A10_rep1_d6.png,834,1540,832,1524,825,1523,0
leaf2,A10_rep1_d6_plm5,fixed_mask_A10_rep1_d6.png,747,1464,768,1474,768,1476,255
leaf1,A10_rep1_d6_plm6,fixed_mask_A10_rep1_d6.png,878,1531,863,1546,840,1548,34
leaf4,A10_rep1_d7_plm1,fixed_mask_A10_rep1_d7.png,783,1368,790,1390,787,1391,255
lig2,A10_rep1_d7_plm2,fixed_mask_A10_rep1_d7.png,827,1539,826,1520,817,1520,0
leaf2,A10_rep1_d7_plm3,fixed_mask_A10_rep1_d7.png,741,1464,764,1473,760,1476,255
