group,plmname,filename,x,y,SS_x,SS_y,TS_x,TS_y,cc_ratio
leaf3,B100_rep1_d4_plm1,fixed_mask_B100_rep1_d4.png,912,1395,893,1406,890,1405,255
lig3,B100_rep1_d4_plm2,fixed_mask_B100_rep1_d4.png,794,1514,803,1492,789,1491,0
leaf4,B100_rep1_d4_plm3,fixed_mask_B100_rep1_d4.png,776,1440,781,1463,778,1464,255
lig2,B100_rep1_d4_plm4,fixed_mask_B100_rep1_d4.png,792,1527,789,1508,779,1519,0
leaf2,B100_rep1_d4_plm5,fixed_mask_B100_rep1_d4.png,684,1520,701,1512,705,1514,255
leaf1,B100_rep1_d4_plm6,fixed_mask_B100_rep1_d4.png,845,1546,798,1556,822,1550,191.25
leaf4,B100_rep1_d5_plm1,fixed_mask_B100_rep1_d5.png,747,1370,760,1389,756,1391,255
lig2,B100_rep1_d5_plm2,fixed_mask_B100_rep1_d5.png,803,1524,801,1506,791,1519,0
leaf2,B100_rep1_d5_plm3,fixed_mask_B100_rep1_d5.png,701,1520,717,1512,721,1514,255
leaf1,B100_rep1_d5_plm4,fixed_mask_B100_rep1_d5.png,854,1548,832,1553,830,1551,255
base,B100_rep1_d5_plm5,fixed_mask_B100_rep1_d5.png,815,1555,815,1555,814,1554,127.5
leaf3,B100_rep1_d5_plm6,fixed_mask_B100_rep1_d5.png,941,1397,921,1406,922,1404,255
lig3,B100_rep1_d5_plm7,fixed_mask_B100_rep1_d5.png,806,1498,817,1476,801,1477,0
leaf4,B100_rep1_d6_plm1,fixed_mask_B100_rep1_d6.png,687,1321,703,1338,699,1339,255
lig2,B100_rep1_d6_plm2,fixed_mask_B100_rep1_d6.png,793,1515,793,1506,789,1517,0
leaf2,B100_rep1_d6_plm3,fixed_mask_B100_rep1_d6.png,691,1528,711,1519,711,1523,255
base,B100_rep1_d6_plm4,fixed_mask_B100_rep1_d6.png,801,1558,801,1558,801,1558,127.5
leaf1,B100_rep1_d6_plm5,fixed_mask_B100_rep1_d6.png,853,1543,832,1550,830,1547,255
leaf3,B100_rep1_d6_plm6,fixed_mask_B100_rep1_d6.png,931,1389,910,1396,907,1394,255
lig3,B100_rep1_d6_plm7,fixed_mask_B100_rep1_d6.png,795,1477,807,1463,791,1466,0
leaf4,B100_rep1_d7_plm1,fixed_mask_B100_rep1_d7.png,583,1354,598,1353,595,1356,255
lig2,B100_rep1_d7_plm2,fixed_mask_B100_rep1_d7.png,798,1522,795,1514,786,1522,0
leaf2,B100_rep1_d7_plm3,fixed_mask_B100_rep1_d7.png,694,1528,713,1519,715,1522,255
leaf1,B100_rep1_d7_plm4,fixed_mask_B100_rep1_d7.png,848,1543,826,1551,825,1548,255
leaf3,B100_rep1_d7_plm5,fixed_mask_B100_rep1_d7.png,935,1397,912,1403,913,1400,255
lig3,B100_rep1_d7_plm6,fixed_mask_B100_rep1_d7.png,797,1477,809,1457,791,1457,0
leaf5,B100_rep1_d7_plm7,fixed_mask_B100_rep1_d7.png,770,1373,779,1395,774,1393,255
lig4,B100_rep1_d7_plm8,fixed_mask_B100_rep1_d7.png,787,1465,782,1446,775,1447,0
leaf5,B100_rep1_d8_plm1,fixed_mask_B100_rep1_d8.png,800,1273,800,1283,797,1285,255
lig4,B100_rep1_d8_plm2,fixed_mask_B100_rep1_d8.png,788,1452,787,1432,779,1438,0
leaf4,B100_rep1_d8_plm3,fixed_mask_B100_rep1_d8.png,561,1361,574,1358,580,1360,255
lig2,B100_rep1_d8_plm4,fixed_mask_B100_rep1_d8.png,797,1528,796,1520,787,1523,0
leaf2,B100_rep1_d8_plm5,fixed_mask_B100_rep1_d8.png,692,1528,707,1518,713,1520,255
leaf1,B100_rep1_d8_plm6,fixed_mask_B100_rep1_d8.png,847,1546,827,1552,825,1549,245.8928571
lig1,B100_rep1_d8_plm7,fixed_mask_B100_rep1_d8.png,809,1553,809,1553,809,1553,127.5
leaf3,B100_rep1_d8_plm8,fixed_mask_B100_rep1_d8.png,945,1404,924,1408,921,1406,255
lig3,B100_rep1_d8_plm9,fixed_mask_B100_rep1_d8.png,798,1480,808,1466,795,1456,0
leaf5,B100_rep1_d9_plm1,fixed_mask_B100_rep1_d9.png,840,1191,831,1211,829,1210,255
lig4,B100_rep1_d9_plm2,fixed_mask_B100_rep1_d9.png,788,1433,786,1419,783,1427,0
leaf4,B100_rep1_d9_plm3,fixed_mask_B100_rep1_d9.png,556,1358,575,1353,580,1354,255
lig2,B100_rep1_d9_plm4,fixed_mask_B100_rep1_d9.png,796,1527,797,1515,788,1523,0
leaf2,B100_rep1_d9_plm5,fixed_mask_B100_rep1_d9.png,691,1525,711,1515,712,1517,255
leaf1,B100_rep1_d9_plm6,fixed_mask_B100_rep1_d9.png,842,1546,826,1553,822,1551,227.2826087
leaf3,B100_rep1_d9_plm7,fixed_mask_B100_rep1_d9.png,943,1409,928,1411,925,1409,255
lig3,B100_rep1_d9_plm8,fixed_mask_B100_rep1_d9.png,800,1478,806,1471,797,1462,11.86046512
leaf5,B100_rep1_d10_plm1,fixed_mask_B100_rep1_d10.png,901,1150,891,1172,892,1161,255
lig5,B100_rep1_d10_plm2,fixed_mask_B100_rep1_d10.png,795,1343,798,1335,790,1319,74.03225806
lig4,B100_rep1_d10_plm3,fixed_mask_B100_rep1_d10.png,790,1427,790,1427,789,1428,127.5
-,B100_rep1_d10_plm4,fixed_mask_B100_rep1_d10.png,777,1411,778,1414,776,1411,127.5
leaf4,B100_rep1_d10_plm5,fixed_mask_B100_rep1_d10.png,557,1349,580,1342,579,1344,255
lig2,B100_rep1_d10_plm6,fixed_mask_B100_rep1_d10.png,794,1527,796,1513,786,1523,0
leaf2,B100_rep1_d10_plm7,fixed_mask_B100_rep1_d10.png,686,1519,707,1512,708,1515,255
leaf1,B100_rep1_d10_plm8,fixed_mask_B100_rep1_d10.png,847,1549,825,1554,825,1552,255
leaf3,B100_rep1_d10_plm9,fixed_mask_B100_rep1_d10.png,954,1415,932,1416,948,1413,255
lig3,B100_rep1_d10_plm10,fixed_mask_B100_rep1_d10.png,800,1480,814,1464,798,1457,0
leaf5,B100_rep1_d11_plm1,fixed_mask_B100_rep1_d11.png,911,1125,903,1147,895,1142,255
lig5,B100_rep1_d11_plm2,fixed_mask_B100_rep1_d11.png,784,1378,791,1361,783,1359,0
leaf6,B100_rep1_d11_plm3,fixed_mask_B100_rep1_d11.png,749,1231,757,1247,754,1251,255
lig4,B100_rep1_d11_plm4,fixed_mask_B100_rep1_d11.png,784,1427,784,1407,771,1410,0
leaf4,B100_rep1_d11_plm5,fixed_mask_B100_rep1_d11.png,547,1365,569,1354,569,1357,255
lig2,B100_rep1_d11_plm6,fixed_mask_B100_rep1_d11.png,791,1525,792,1516,782,1520,0
leaf2,B100_rep1_d11_plm7,fixed_mask_B100_rep1_d11.png,691,1515,710,1507,711,1509,255
leaf1,B100_rep1_d11_plm8,fixed_mask_B100_rep1_d11.png,841,1547,824,1552,828,1548,255
lig1,B100_rep1_d11_plm9,fixed_mask_B100_rep1_d11.png,803,1551,803,1551,803,1551,127.5
leaf3,B100_rep1_d11_plm10,fixed_mask_B100_rep1_d11.png,950,1418,938,1422,937,1419,255
lig3,B100_rep1_d11_plm11,fixed_mask_B100_rep1_d11.png,797,1479,809,1466,794,1467,0
leaf5,B100_rep1_d12_plm1,fixed_mask_B100_rep1_d12.png,933,1105,925,1126,921,1120,255
lig5,B100_rep1_d12_plm2,fixed_mask_B100_rep1_d12.png,784,1376,788,1359,780,1352,0
leaf6,B100_rep1_d12_plm3,fixed_mask_B100_rep1_d12.png,716,1142,727,1163,722,1164,255
lig4,B100_rep1_d12_plm4,fixed_mask_B100_rep1_d12.png,782,1428,782,1423,766,1411,0
