group,plmname,filename,x,y,SS_x,SS_y,TS_x,TS_y,cc_ratio
leaf3,RIL39_rep1_d4_plm1,fixed_mask_RIL39_rep1_d4.png,869,1420,860,1433,855,1430,247.9166667
lig3,RIL39_rep1_d4_plm2,fixed_mask_RIL39_rep1_d4.png,790,1532,800,1511,785,1509,0
leaf4,RIL39_rep1_d4_plm3,fixed_mask_RIL39_rep1_d4.png,775,1472,780,1493,777,1495,255
lig2,RIL39_rep1_d4_plm4,fixed_mask_RIL39_rep1_d4.png,786,1537,782,1515,769,1524,0
leaf2,RIL39_rep1_d4_plm5,fixed_mask_RIL39_rep1_d4.png,721,1507,743,1511,740,1513,255
base,RIL39_rep1_d4_plm6,fixed_mask_RIL39_rep1_d4.png,795,1558,785,1543,794,1541,255
leaf3,RIL39_rep1_d5_plm1,fixed_mask_RIL39_rep1_d5.png,890,1410,881,1423,875,1418,255
lig3,RIL39_rep1_d5_plm2,fixed_mask_RIL39_rep1_d5.png,805,1516,813,1494,799,1495,0
leaf4,RIL39_rep1_d5_plm3,fixed_mask_RIL39_rep1_d5.png,766,1412,774,1432,768,1431,255
lig2,RIL39_rep1_d5_plm4,fixed_mask_RIL39_rep1_d5.png,799,1534,797,1510,783,1524,0
leaf2,RIL39_rep1_d5_plm5,fixed_mask_RIL39_rep1_d5.png,736,1506,757,1509,757,1511,255
base,RIL39_rep1_d5_plm6,fixed_mask_RIL39_rep1_d5.png,808,1555,798,1540,806,1535,255
leaf4,RIL39_rep1_d6_plm1,fixed_mask_RIL39_rep1_d6.png,741,1384,752,1403,749,1405,229.5
lig2,RIL39_rep1_d6_plm2,fixed_mask_RIL39_rep1_d6.png,788,1541,789,1517,772,1526,0
leaf2,RIL39_rep1_d6_plm3,fixed_mask_RIL39_rep1_d6.png,725,1508,748,1512,746,1514,255
base,RIL39_rep1_d6_plm4,fixed_mask_RIL39_rep1_d6.png,799,1559,788,1542,798,1538,248.88
leaf3,RIL39_rep1_d6_plm5,fixed_mask_RIL39_rep1_d6.png,883,1405,870,1423,873,1410,255
lig3,RIL39_rep1_d6_plm6,fixed_mask_RIL39_rep1_d6.png,794,1509,804,1487,790,1486,0
leaf4,RIL39_rep1_d7_plm1,fixed_mask_RIL39_rep1_d7.png,671,1374,687,1386,685,1387,255
lig2,RIL39_rep1_d7_plm2,fixed_mask_RIL39_rep1_d7.png,787,1541,789,1518,773,1529,0
leaf2,RIL39_rep1_d7_plm3,fixed_mask_RIL39_rep1_d7.png,720,1510,743,1513,740,1516,255
base,RIL39_rep1_d7_plm4,fixed_mask_RIL39_rep1_d7.png,797,1557,785,1542,797,1535,251.6883117
leaf3,RIL39_rep1_d7_plm5,fixed_mask_RIL39_rep1_d7.png,885,1403,873,1420,871,1410,255
lig3,RIL39_rep1_d7_plm6,fixed_mask_RIL39_rep1_d7.png,794,1502,803,1486,792,1485,0
leaf5,RIL39_rep1_d7_plm7,fixed_mask_RIL39_rep1_d7.png,783,1417,785,1423,781,1478,29.56521739
leaf5,RIL39_rep1_d8_plm1,fixed_mask_RIL39_rep1_d8.png,813,1330,815,1341,808,1346,255
lig4,RIL39_rep1_d8_plm2,fixed_mask_RIL39_rep1_d8.png,793,1469,794,1468,779,1452,0
leaf4,RIL39_rep1_d8_plm3,fixed_mask_RIL39_rep1_d8.png,665,1362,687,1372,683,1376,255
lig2,RIL39_rep1_d8_plm4,fixed_mask_RIL39_rep1_d8.png,794,1541,795,1526,782,1534,2.38317757
leaf2,RIL39_rep1_d8_plm5,fixed_mask_RIL39_rep1_d8.png,727,1510,751,1515,746,1517,255
base,RIL39_rep1_d8_plm6,fixed_mask_RIL39_rep1_d8.png,800,1559,791,1544,805,1540,255
leaf3,RIL39_rep1_d8_plm7,fixed_mask_RIL39_rep1_d8.png,899,1407,885,1423,878,1417,255
lig3,RIL39_rep1_d8_plm8,fixed_mask_RIL39_rep1_d8.png,802,1505,811,1487,800,1492,0
leaf5,RIL39_rep1_d9_plm1,fixed_mask_RIL39_rep1_d9.png,843,1251,843,1274,838,1271,255
lig4,RIL39_rep1_d9_plm2,fixed_mask_RIL39_rep1_d9.png,785,1456,788,1441,776,1448,0
leaf4,RIL39_rep1_d9_plm3,fixed_mask_RIL39_rep1_d9.png,642,1359,665,1367,661,1373,255
lig2,RIL39_rep1_d9_plm4,fixed_mask_RIL39_rep1_d9.png,786,1539,786,1539,786,1539,127.5
leaf2,RIL39_rep1_d9_plm5,fixed_mask_RIL39_rep1_d9.png,724,1513,743,1516,747,1520,255
base,RIL39_rep1_d9_plm6,fixed_mask_RIL39_rep1_d9.png,796,1559,781,1544,796,1547,255
leaf3,RIL39_rep1_d9_plm7,fixed_mask_RIL39_rep1_d9.png,891,1410,875,1428,871,1418,255
lig3,RIL39_rep1_d9_plm8,fixed_mask_RIL39_rep1_d9.png,795,1505,805,1487,794,1485,0
leaf5,RIL39_rep1_d10_plm1,fixed_mask_RIL39_rep1_d10.png,900,1220,894,1243,886,1237,255
lig5,RIL39_rep1_d10_plm2,fixed_mask_RIL39_rep1_d10.png,779,1437,788,1421,776,1424,0
leaf6,RIL39_rep1_d10_plm3,fixed_mask_RIL39_rep1_d10.png,762,1320,764,1324,760,1327,255
lig4,RIL39_rep1_d10_plm4,fixed_mask_RIL39_rep1_d10.png,775,1448,772,1426,757,1435,0
leaf4,RIL39_rep1_d10_plm5,fixed_mask_RIL39_rep1_d10.png,624,1369,644,1373,643,1379,250.1886792
lig2,RIL39_rep1_d10_plm6,fixed_mask_RIL39_rep1_d10.png,783,1540,783,1523,771,1533,0
leaf2,RIL39_rep1_d10_plm7,fixed_mask_RIL39_rep1_d10.png,718,1514,739,1517,740,1519,255
base,RIL39_rep1_d10_plm8,fixed_mask_RIL39_rep1_d10.png,794,1559,779,1547,795,1538,255
leaf3,RIL39_rep1_d10_plm9,fixed_mask_RIL39_rep1_d10.png,889,1408,878,1421,869,1418,255
